STM_MW00461	riboflavin biosynthesis protein RibF
CS17_03729	50S ribosomal protein L17,50S ribosomal protein L17,50S ribosomal protein L17,Ribosomal protein L17,ribosomal protein L17,Ribosomal protein L17
ETEC_3465	putative organic solvent tolerance protein
t0048	isoleucyl-tRNA synthetase
ENC_02720	guanylate kinase
BN373_18951	DNA topoisomerase I
t3981	aspartate-semialdehyde dehydrogenase
ETEC_3448	probable GTP-binding protein
ENC_25190	LSU ribosomal protein L6P
CS17_00205	prolyl-tRNA synthetase,Proline--tRNA ligase,prolyl-tRNA synthetase,Prolyl-tRNA synthetase,proline--tRNA ligase,tRNA synthetase class II core domain (G, H, P, S and T)
STM_MW24001	3-oxoacyl-[acyl-carrier-protein
BN373_17101	thymidylate kinase
t4081	50S ribosomal subunit protein L18
ETEC_0961	seryl-tRNA synthetase
ENC_23520	protein-export membrane protein SecD
BN373_43621	translation elongation factor G
STM_MW38471	UDP-N-acetylglucosamine pyrophosphorylase
STMMW_14291	riboflavin synthase alpha chain
SL1344_3259	protein chain initiation factor 2
STMMW_26901	30S ribosomal subunit protein S16
BN373_12521	DNA polymerase III, delta subunit
STM_MW10031	killing factor KicB
NCTC13441_04715	Porphobilinogen deaminase,porphobilinogen deaminase,Uroporphyrinogen-III synthase,porphobilinogen deaminase,Porphobilinogen deaminase, dipyromethane cofactor binding domain
ENC_46770	Iron-sulfur cluster assembly accessory protein
ETEC_0992	chromosome partition protein
SL1344_0633	conserved hypothetical protein
BN373_06321	2-amino-4-hydroxy-6-hydroxymethyldihydropteridi ne pyrophosphokinase
SL3261_1272	Phenylalanyl-tRNA synthetase beta chain
STMMW_34271	50S ribosomal protein L22
SEN3051	possible glycoprotease
t3002	S-adenosylmethionine synthetase
ROD_37661	50S ribosomal subunit protein L7/L12
SL3261_3415	30S ribosomal subunit protein S12
t2728	alanyl-tRNA synthetase
ERS227112_03113	ICORN_RH20207_annotate_bacteria_03113
t3211	PGM/PMM-family protein
STMMW_02301	outer membrane protein precursor
SL1344_0140	Dephospho-CoA kinase
ETEC_1746	Phenylalanyl-tRNA synthetase beta chain
SL3261_3828	glucosamine--fructose-6-phosphate aminotransferase
ENC_20680	leucyl-tRNA synthetase
SL1344_3809	hypothetical membrane protein
t1701	ABC transporter integral membrane subunit
STM_MW34401	30S ribosomal subunit protein S12
SL3261_3065	S-adenosylmethionine synthetase
SL1344_3402	50s ribosomal protein l22
ETEC_0697	glutaminyl-tRNA synthetase
SL1344_4347	inorganic pyrophosphatase
ERS227112_02355	ICORN_RH20207_annotate_bacteria_02355
t4408	conserved hypothetical protein
SEN0227	1-deoxy-D-xylulose 5-phosphate reductoisomerase
ENC_02030	hydroxymethylbilane synthase
SL1344_0225	outer membrane protein precursor
NCTC13441_03360	Peptidoglycan synthase FtsI precursor,penicillin-binding protein 2,Membrane carboxypeptidase/penicillin-binding protein,penicillin-binding protein 2,Penicillin binding protein transpeptidase domain
ROD_41751	deoxyuridine 5'-triphosphate nucleotidohydrolase
ETEC_1311	ribose-phosphate pyrophosphokinase
ERS227112_04019	ICORN_RH20207_annotate_bacteria_04019
CS17_04446	50S ribosomal protein L10,50S ribosomal protein L8,50S ribosomal protein L10,Ribosomal protein L10,Ribosomal protein L10
STM_MW17101	DNA topoisomerase I, omega protein I
ROD_06691	apolipoprotein N-acyltransferase
SL1344_1131	malonyl CoA-acyl carrier protein transacylase
t4069	30S ribosomal subunit protein S19
ERS227112_00881	ICORN_RH20207_annotate_bacteria_00881
CS17_04743	valyl-tRNA synthetase,Valine--tRNA ligase,valyl-tRNA synthetase,Valyl-tRNA synthetase,valine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
ERS227112_01900	ICORN_RH20207_annotate_bacteria_01900
t1216	50S ribosomal subunit protein L20
NCTC13441_03883	Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase,dephospho-CoA kinase,Dephospho-CoA kinase
SL1344_3706	5'guanylate kinase
ROD_36191	RNA polymerase sigma-70 factor
NCTC13441_03792	DNA polymerase III subunit alpha,DNA polymerase III subunit alpha,DNA polymerase III, alpha subunit,Bacterial DNA polymerase III alpha subunit
t0442	glutamyl-tRNA synthetase
ERS227112_00868	ICORN_RH20207_annotate_bacteria_00868
NCTC13441_00505	Octaprenyl-diphosphate synthase,octaprenyl diphosphate synthase,Geranylgeranyl pyrophosphate synthase,solanesyl diphosphate synthase,Polyprenyl synthetase
t0137	cell division protein FtsZ
BN373_05801	phospho-N-acetylmuramoyl-pentapeptide-transfera se
t4059	elongation factor G
STMMW_34401	30S ribosomal subunit protein S12
ENC_33120	RNA polymerase, sigma 70 subunit, RpoD
BN373_42281	translation initiation factor IF-2
CS17_03739	50S ribosomal protein L18,50S ribosomal protein L18,50S ribosomal protein L18,ribosomal protein L18,Ribosomal L18p/L5e family
ETEC_0082	peptidoglycan synthetase (penicillin-binding protein 3)
NCTC13441_00389	30S ribosomal protein S8,30S ribosomal protein S8,Ribosomal protein S8,Ribosomal protein S8
ETEC_4020	glucosamine--fructose-6-phosphate aminotransferase
STMMW_10031	killing factor KicB
STMMW_38471	UDP-n-acetylglucosamine pyrophosphorylase
ERS227112_03403	ICORN_RH20207_annotate_bacteria_03403
CS17_02951	signal recognition particle protein,p48,signal recognition particle protein,Signal recognition particle GTPase,signal recognition particle protein,SRP54-type protein, GTPase domain
CS17_04004	glycine tRNA synthetase,Glycine--tRNA ligase alpha subunit,glycyl-tRNA synthetase subunit alpha,glycine--tRNA ligase, alpha subunit,Glycyl-tRNA synthetase alpha subunit
ROD_09911	chromosome partition protein
ENC_46960	1-deoxy-D-xylulose 5-phosphate reductoisomerase
BN373_06621	iron-sulfur cluster assembly accessory protein
CS17_00986	condesin subunit E,hypothetical protein,condesin subunit E,Uncharacterized protein involved in chromosome partitioning,MukE-like family
SEN3263	50s ribosomal protein l22
SEN4003	4-hydroxybenzoate octaprenyl transferase
BN373_01701	phosphatidylserine decarboxylase
STMMW_07101	conserved hypothetical protein
STM_MW12091	thymidylate kinase
SL1344_0402	protein-export membrane protein SecD
ETEC_0169	undecaprenyl pyrophosphate synthetase
ROD_42461	glycine-tRNA synthetase, alpha subunit
STM_MW07521	flavodoxin 1
STM_MW34101	30S ribosomal subunit protein S11
CS17_03073	cell division protein,Cell division protein FtsB,cell division protein FtsB,Septum formation initiator
ROD_36391	replicative DNA helicase protein DnaB
SL3261_3259	protein chain initiation factor 2
ETEC_4575	inorganic pyrophosphatase
t3325	ubiquinone biosynthesis protein
SEN2792	CTP synthase
SEN3137	50S ribosomal subunit protein L21
NCTC13441_01132	30S ribosomal protein S16,30S ribosomal protein S16,ribosomal protein S16,Ribosomal protein S16
NCTC13441_01202	Inositol-1-monophosphatase,inositol monophosphatase,histidinol-phosphatase,Inositol monophosphatase family
ROD_45081	30S ribosomal subunit protein S3
ETEC_2814	tRNA (guanine-N(1)-)-methyltransferase
ROD_09991	asparaginyl-tRNA synthetase
NCTC13441_00507	50S ribosomal protein L27,50S ribosomal protein L27,Ribosomal protein L27,ribosomal protein L27,Ribosomal L27 protein
CS17_03627	50S ribosomal protein L27,50S ribosomal protein L27,50S ribosomal protein L27,Ribosomal protein L27,ribosomal protein L27,Ribosomal L27 protein
SL1344_3387	preprotein translocase subunit
ROD_33241	valyl-tRNA synthetase
BN373_19101	enoyl-(acyl-carrier-protein) reductase (NADH)
SL1344_3804	DNA polymerase III beta-subunit
STM_MW31561	3,4-dihydroxy-2-butanone 4-phosphate synthase
NCTC13441_04220	Inorganic pyrophosphatase,inorganic pyrophosphatase,Inorganic pyrophosphatase,Inorganic pyrophosphatase
STM_MW00471	isoleucyl-tRNA synthetase
SL3261_4182	replicative DNA helicase
NCTC13441_01596	Methionine--tRNA ligase,methionyl-tRNA synthetase,Methionyl-tRNA synthetase,methionine--tRNA ligase,tRNA synthetases class I (M)
STMMW_31341	topoisomerase IV subunit A
NCTC13441_03901	Peptidoglycan synthase FtsI precursor,peptidoglycan synthase FtsI,Membrane carboxypeptidase/penicillin-binding protein,stage V sporulation protein D,Penicillin binding protein transpeptidase domain
NCTC13441_00468	50S ribosomal protein L13,50S ribosomal protein L13,Ribosomal protein L13,ribosomal protein L13,Ribosomal protein L13
SEN3258	50S ribosomal subunit protein L14
SEN1848	DNA polymerase III, delta' subunit
SEN0128	cell division protein FtsW
NCTC13441_02818	Fatty acid synthase acyl carrier protein,acyl carrier protein,Acyl carrier protein,acyl carrier protein,Phosphopantetheine attachment site
CS17_00089	cell division protein FtsW,Cell division protein FtsW,cell division protein FtsW,cell division protein FtsW,Cell cycle protein
NCTC13441_04313	hypothetical protein,co-chaperonin GroES,Chaperonin 10 Kd subunit
SL3261_0140	Dephospho-CoA kinase
t0222	undecaprenyl pyrophosphate synthetase
CS17_04681	30S ribosomal protein S18,30S ribosomal protein S18,30S ribosomal protein S18,Ribosomal protein S18,ribosomal protein S18,Ribosomal protein S18
ENC_25220	Ribosomal protein L5
t3489	UDP-N-acetylenolpyruvoylglucosamine reductase
ERS227112_00871	ICORN_RH20207_annotate_bacteria_00871
ERS227112_05444	ICORN_RH20207_annotate_bacteria_05444
SL1344_0218	Elongation factor Ts
ENC_45960	peptidoglycan synthetase FtsI
t0498	acetyl-CoA carboxylase beta subunit
ETEC_3996	inner membrane protein
BN373_49751	transcription termination/antitermination factor NusG
ETEC_0174	UDP-3-O-[3-hydroxymyristoyl
STM_MW31341	topoisomerase IV subunit A
ROD_30351	enolase
ENC_34740	LSU ribosomal protein L13P
SL1344_1133	acyl carrier protein
SL3261_2932	CTP synthase
CS17_00179	elongation factor Ts,Elongation factor Ts,elongation factor Ts,Translation elongation factor Ts,translation elongation factor Ts,Elongation factor TS
STMMW_37141	phosphopantetheine adenylyltransferase
ENC_01400	LSU ribosomal protein L12P
ETEC_1751	threonyl-tRNA synthetase
ERS227112_02710	ICORN_RH20207_annotate_bacteria_02710
ROD_09571	seryl-tRNA synthetase
STMMW_44211	valyl-tRNA synthetase
CS17_02857	signal peptidase I,Signal peptidase I,signal peptidase I,Type IV secretory pathway, protease TraF,signal peptidase I,Peptidase S24-like
SEN3129	cell division protein
SL1344_0918	30S ribosomal protein S1
ERS227112_03124	ICORN_RH20207_annotate_bacteria_03124
ENC_08380	GTP cyclohydrolase II
ERS227112_03148	ICORN_RH20207_annotate_bacteria_03148
ROD_44791	elongation factor G
ERS227112_01829	ICORN_RH20207_annotate_bacteria_01829
ENC_20420	flavodoxin, long chain
SL3261_0535	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase
CS17_04294	3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,3-octaprenyl-4-hydroxybenzoate decarboxylase,3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases,UbiD family decarboxylase,3-octaprenyl-4-hydroxybenzoate carboxy-lyase
NCTC13441_04446	4-hydroxybenzoate octaprenyltransferase,4-hydroxybenzoate octaprenyltransferase,Polyprenyltransferase (cytochrome oxidase assembly factor),4-hydroxybenzoate polyprenyl transferase,UbiA prenyltransferase family
STMMW_34291	50S ribosomal subunit protein L2
CS17_03108	enolase,Enolase,enolase,L-alanine-DL-glutamate epimerase and related enzymes of enolase superfamily,phosphopyruvate hydratase,Enolase, C-terminal TIM barrel domain
BN373_43311	ribosomal protein L17
ERS227112_01131	ICORN_RH20207_annotate_bacteria_01131
t3788	conserved hypothetical protein
BN373_15661	chromosome partition protein MukE
t2228	rod shape-determining protein RodA
SEN3553	deoxyuridine 5'-triphosphate nucleotidohydrolase
STMMW_34231	50S ribosomal subunit protein L14
SL3261_0128	UDP-N-acetylglucosamine--N-acetylmuramyl-
ROD_14301	tyrosyl-tRNA synthetase
SL3261_0891	initiation factor IF-1
t1213	threonyl-tRNA synthetase
STMMW_12271	ABC transporter ATP-binding subunit
NCTC13441_03889	UDP-3-O-[3-hydroxymyristoyl
STM_MW31691	possible glycoprotease
ERS227112_00755	ICORN_RH20207_annotate_bacteria_00755
STM_MW25981	signal peptidase I
SEN3243	DNA-directed RNA polymerase alpha chain
t0486	3-oxoacyl-[acyl-carrier-protein
BN373_27611	phenylalanyl-tRNA synthetase, beta subunit
BN373_15571	lipid A export permease/ATP-binding protein MsbA
CS17_00682	glutaminyl-tRNA synthetase,Glutamine--tRNA ligase,glutaminyl-tRNA synthetase,Glutamyl- and glutaminyl-tRNA synthetases,glutamine--tRNA ligase,tRNA synthetases class I (E and Q), catalytic domain
SL3261_0133	cell division protein FtsZ
NCTC13441_02635	Ribose-phosphate pyrophosphokinase,ribose-phosphate pyrophosphokinase,ribose-phosphate diphosphokinase,Phosphoribosyl transferase domain
CS17_00953	outer-membrane lipoprotein carrier protein,P20,lipoprotein chaperone,Outer membrane lipoprotein-sorting protein,outer membrane lipoprotein carrier protein LolA,Outer membrane lipoprotein carrier protein LolA
ETEC_0979	30S ribosomal protein S1
ETEC_3492	50S ribosomal subunit protein L13
ROD_45921	50S ribosomal subunit protein L13
SEN3037	3,4-dihydroxy-2-butanone 4-phosphate synthase
ETEC_4112	probable ubiquinone biosynthesis protein
ROD_45141	50S ribosomal subunit protein L5
t3951	cell division protein
NCTC13441_02978	30S ribosomal protein S1,30S ribosomal protein S1,Cytidylate kinase,ribosomal protein S1,S1 RNA binding domain
t3864	glycine-tRNA synthetase, beta subunit
CS17_04150	DNA gyrase subunit B,DNA gyrase subunit B,DNA gyrase subunit B,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA gyrase, B subunit,DNA gyrase B
STM_MW04921	1-deoxyxylulose-5-phosphate synthase
SL1344_1358	riboflavin synthase alpha chain
SL1344_0184	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
SL3261_4083	pantothenate kinase
ROD_39191	probable ubiquinone biosynthesis protein
ROD_39461	porphobilinogen deaminase
ENC_44790	replicative DNA helicase loader DnaC
BN373_01761	conserved hypothetical protein TIGR00150
SEN0126	phospho-N-acetylmuramoyl-pentapeptide-transferase
ETEC_3568	30S ribosomal subunit protein S19
ROD_00221	riboflavin biosynthesis protein
ERS227112_00967	ICORN_RH20207_annotate_bacteria_00967
t0133	UDP-N-acetylmuramate:alanine ligase
NCTC13441_04285	hypothetical protein,ADP-binding protein,ATPase, YjeE family,Uncharacterised P-loop hydrolase UPF0079
ETEC_1672	tyrosyl-tRNA synthetase
BN373_35511	signal peptidase I
STM_MW17061	GTP cyclohydrolase II
ENC_02580	Phosphopantothenate-cysteine ligase /Phosphopantothenoylcysteine decarboxylase
SEN3265	50S ribosomal subunit protein L2
SEN4015	replicative DNA helicase
SL3261_1137	Thymidylate kinase
NCTC13441_03820	Iron-sulfur cluster insertion protein erpA,iron-sulfur cluster insertion protein ErpA,iron-sulfur cluster assembly accessory protein,Iron-sulphur cluster biosynthesis
ERS227112_00860	ICORN_RH20207_annotate_bacteria_00860
NCTC13441_00525	N utilization substance protein A,transcription elongation factor NusA,Transcription elongation factor,transcription termination factor NusA,NusA N-terminal domain
STM_MW14521	tyrosyl-tRNA synthetase
SL3261_0676	flavodoxin 1
ETEC_3553	50S ribosomal subunit protein L15
t3128	possible glycoprotease
SL3261_0225	outer membrane protein precursor
STM_MW05591	ferrochelatase
NCTC13441_00830	Phosphoglycerate kinase,phosphoglycerate kinase,3-phosphoglycerate kinase,Phosphoglycerate kinase
SEN3264	30S ribosomal subunit protein S19
CS17_02562	bifunctional FolC protein [includes: folylpolyglutamate synthase; dihydrofolate synthase
ERS227112_03574	ICORN_RH20207_annotate_bacteria_03574
ROD_13371	threonyl-tRNA synthetase
SEN0658	flavodoxin 1
ERS227112_03412	ICORN_RH20207_annotate_bacteria_03412
STMMW_23881	acetyl-CoA carboxylase beta subunit
ETEC_3139	putative holliday junction resolvase
t4068	50S ribosomal subunit protein L2
ETEC_3015	prolipoprotein diacylglyceryl transferase
SEN2770	conserved hypothetical protein
SL1344_3384	30S ribosomal subunit protein S11
STM_MW35281	aspartate-semialdehyde dehydrogenase
ERS227112_05459	ICORN_RH20207_annotate_bacteria_05459
SL1344_1138	DNA polymerase III, delta' subunit
t3204	protein chain initiation factor 2
ENC_03940	chromosomal replication initiator protein DnaA
SL1344_0535	FolD bifunctional protein [includes: methylenetetrahydrofolate dehydrogenase; methenyltetrahydrofolate cyclohydrolase
ROD_46631	transcription elongation protein
ETEC_3992	chromosomal replication initiator protein
STMMW_25981	signal peptidase I
CS17_04087	deoxyuridine 5'-triphosphate nucleotidohydrolase,Deoxyuridine 5'-triphosphate nucleotidohydrolase,deoxyuridine 5'-triphosphate nucleotidohydrolase,dUTP diphosphatase,dUTPase
ETEC_4238	pantothenate kinase
NCTC13441_00036	Guanylate kinase,guanylate kinase,Guanylate kinase,guanylate kinase,Guanylate kinase
SEN2791	Enolase
SL1344_3317	50S ribosomal subunit protein L13
SEN3017	topoisomerase IV subunit A
NCTC13441_02965	Structural maintenance of chromosome-related protein,cell division protein MukB,Uncharacterized protein involved in chromosome partitioning,MukB N-terminal
BN373_42801	ribosomal protein L13
ROD_02041	prolyl-tRNA synthetase
BN373_49721	pantothenate kinase
SL3261_2650	signal recognition particle protein
BN373_17271	lipoprotein-releasing system transmembrane protein LolC
SL1344_0636	leucyl-tRNA synthetase
SL1344_3828	glucosamine--fructose-6-phosphate aminotransferase
SEN0231	outer membrane protein precursor
SL1344_0411	6,7-dimethyl-8-ribityllumazine synthase (riboflavin synthase beta chain)
STM_MW40981	pantothenate kinase
ROD_00971	UDP-N-acetylmuramate:alanine ligase
CS17_00025	isoleucyl-tRNA synthetase,Isoleucine--tRNA ligase,isoleucyl-tRNA synthetase,Isoleucyl-tRNA synthetase,isoleucine--tRNA ligase,tRNA synthetases class I (I, L, M and V)
STMMW_02381	acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
BN373_06841	UDP-3-O-[3-hydroxymyristoyl
t3657	UDP-N-acetylglucosamine pyrophosphorylase
SEN3767	ubiquinone biosynthesis protein
STMMW_34201	30S ribosomal subunit protein S14
ROD_27271	bifunctional FolC protein [includes: folylpolyglutamate synthase; dihydrofolate synthase
t2181	flavodoxin 1
SEN0897	KicA protein
BN373_09441	adenylate kinase
STM_MW34071	50S ribosomal subunit protein L17
SL1344_4086	preprotein translocase SecE subunit
BN373_17041	malonyl CoA-acyl carrier protein transacylase
SL3261_3387	preprotein translocase subunit
ROD_11561	acyl carrier protein
SL3261_0929	killing factor KicB
ERS227112_03873	ICORN_RH20207_annotate_bacteria_03873
SL3261_0237	cell cycle protein MesJ
t3476	50S ribosomal subunit protein L10
SL3261_0047	isoleucyl-tRNA synthetase
SL1344_0128	UDP-N-acetylglucosamine--N-acetylmuramyl-
STM_MW31331	1-acyl-glycerol-3-phosphate acyltransferase
BN373_42291	transcription termination factor NusA
ETEC_0526	adenylate kinase
ERS227112_02543	ICORN_RH20207_annotate_bacteria_02543
BN373_12781	flavodoxin
ENC_30640	prolipoprotein diacylglyceryl transferase
SL1344_2334	folylpolyglutamate synthase
STM_MW41841	4-hydroxybenzoate octaprenyl transferase
CS17_03439	1-acylglycerol-3-phosphate O-acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acyl-sn-glycerol-3-phosphate acyltransferase,1-acylglycerol-3-phosphate O-acyltransferases,Acyltransferase
SEN3256	50S ribosomal subunit protein L5
ETEC_0092	cell division protein FtsA
t2227	penicillin-binding protein 2
STMMW_34311	50S ribosomal subunit protein L4
ENC_28080	SSU ribosomal protein S16P
STMMW_38231	chromosomal replication initiator protein
STMMW_27891	AlaRS
BN373_06741	ribosomal protein S2
t0191	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
CS17_00192	lipid-A-disaccharide synthase,Lipid-A-disaccharide synthase,lipid-A-disaccharide synthase,Predicted membrane protein,lipid-A-disaccharide synthase,Lipid-A-disaccharide synthetase
SEN0133	cell division protein FtsA
CS17_01385	ribose-phosphate pyrophosphokinase,Ribose-phosphate pyrophosphokinase,ribose-phosphate pyrophosphokinase,ribose-phosphate diphosphokinase,Phosphoribosyl transferase domain
ROD_04691	1-deoxyxylulose-5-phosphate synthase
ETEC_4118	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
SL3261_2335	acetyl-CoA carboxylase beta subunit
SEN3251	30S ribosomal subunit protein S5
ETEC_0138	2-amino-4-hydroxy-6-hydroxymethyldihyropteridin e pyrophosphokinase
STM_MW24471	cell division protein
t2629	tRNA (guanine-N1) methyltransferase
CS17_01456	DNA topoisomerase I,DNA topoisomerase 1,DNA topoisomerase I subunit omega,Zn-finger domain associated with topoisomerase type I,DNA topoisomerase I,DNA topoisomerase
STMMW_12101	DNA polymerase III, delta' subunit
t3678	putative membrane protein
ERS227112_01024	ICORN_RH20207_annotate_bacteria_01024
SL1344_4090	50S ribosomal subunit protein L10
SEN3276	30S ribosomal subunit protein S12
SL3261_2931	Enolase
ROD_46371	probable GTP-binding protein
NCTC13441_02813	DNA polymerase III subunit delta',DNA polymerase III subunit delta',DNA polymerase III, delta' subunit,DNA polymerase III, delta subunit, C terminal
ENC_31990	conserved hypothetical protein TIGR00250
STM_MW02301	outer membrane protein precursor
STM_MW09961	tetraacyldisaccharide 4'-kinase
NCTC13441_04817	DNA gyrase subunit B,DNA gyrase subunit B,Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit,DNA gyrase, B subunit,DNA gyrase B
SEN3267	50S ribosomal subunit protein L4
SL3261_0668	glutaminyl-tRNA synthetase
STM_MW44891	probable DNA replication protein
SEN4183	inorganic pyrophosphatase
ERS227112_00657	ICORN_RH20207_annotate_bacteria_00657
