Gene	Product	log(ii/essentiality+AF8-threshold)													Locus tag													Number of copies of gene in the genome													path+AF8-id	path+AF8-name
		Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655	Klebsiella.pneumoniae.Ecl8	Klebsiella.pneumoniae.RH201207	Citrobacter.rodentium.ICC168	Salmonella.typhimurium.SL1344	Salmonella.typhimurium.SL3261	Salmonella.typhimurium.D23580	Salmonella.typhimurium.A130	Salmonella.enteritidis.P125109	Salmonella.Typhi.Ty2	Escherichia.coli.EC958	Escherichia.coli.ST131	Escherichia.coli.BW25113	Escherichia.coli.MG1655		
ubiH	2+AC0-octaprenyl+AC0-6+AC0-methoxyphenol hydroxylase	0.528824968	+AC0-4.5	0.252237597	+AC0-0.1769929839	+AC0-1.8549189906	+AC0-1.3192162382	+AC0-4.5	+AC0-2.9277617467	+AC0-2.3602156965	0.2422457729	+AC0-0.3179736905	+AC0-0.8597249118	4.5	BN373+AF8-40071	ERS227112+AF8-01323	ROD+AF8-49261	SL1344+AF8-3033	SL3261+AF8-3033	STMMW+AF8-30171	STM+AF8-MW30171	SEN2900	t2975	EC958+AF8-3188	NCTC13441+AF8-00849	BW25113+AF8-2907	b2907	3	3	3	3	3	3	3	3	3	3	3	3	3	eco01110	Biosynthesis of secondary metabolites 
ubiX	3+AC0-octaprenyl+AC0-4+AC0-hydroxybenzoate carboxy+AC0-lyase	1.8784901241	+AC0-1.1750986406	+AC0-4.5	1.3111752218	1.1636849338	1.8140750477	0.8447898064	1.0899162397	0.9166845229	0.5029817262	+AC0-0.9035949951	+AC0-4.5	4.5	BN373+AF8-33111	ERS227112+AF8-03878	ROD+AF8-27191	SL1344+AF8-2325	SL3261+AF8-2325	STMMW+AF8-23781	STM+AF8-MW23781	SEN2338	t0508	EC958+AF8-2646	NCTC13441+AF8-01400	BW25113+AF8-2311	b2311	2	2	2	2	2	2	2	2	2	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
uppS	di+AC0-trans,poly+AC0-cis+AC0-decaprenylcistransferase	+AC0-0.9995063666	+AC0-1.7497863638	+AC0-4.5	+AC0-1.9789277464	+AC0-4.5	+AC0-1.1387141669	+AC0-4.5	+AC0-0.8261440537	+AC0-4.5	+AC0-4.5	+AC0-1.6649603747	+AC0-1.1256599916	+AC0-4.5	BN373+AF8-06791	ERS227112+AF8-02529	ROD+AF8-01771	SL1344+AF8-0222	SL3261+AF8-0222	STMMW+AF8-02271	STM+AF8-MW02271	SEN0228	t0222	EC958+AF8-0320	NCTC13441+AF8-03803	BW25113+AF8-0174	b0174	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01110	Biosynthesis of secondary metabolites 
entD	enterochelin synthetase component D	2.342883443	2.0854226914	1.9967241477	2.405490568	2.2850913206	1.9057818025	1.7833674756	1.6782149495	1.2328104132	2.3960628586	2.4326376075	1.0067936784	+AC0-4.5	BN373+AF8-11791	ERS227112+AF8-03039	ROD+AF8-05921	SL1344+AF8-0572	SL3261+AF8-0572	STMMW+AF8-06491	STM+AF8-MW06491	SEN0553	t2284	EC958+AF8-0701	NCTC13441+AF8-03413	BW25113+AF8-0583	b0583	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01053	Biosynthesis of siderophore group nonribosomal peptides 
fabG	3+AC0-oxoacyl+AC0AWw-acyl+AC0-carrier+AC0-protein+AF0- reductase	+AC0-0.502209631	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.5287455691	+AC0-4.5	+AC0-2.0592301275	+AC0-4.5	+AC0-0.9501952372	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-17051	ERS227112+AF8-03569	ROD+AF8-11551	SL1344+AF8-1132	SL3261+AF8-1132	STMMW+AF8-12041	STM+AF8-MW12041	SEN1854	t1725	EC958+AF8-1289	NCTC13441+AF8-02819	BW25113+AF8-1093	b1093	35	32	18	11	11	11	11	12	10	17	17	14	14	eco01040	Biosynthesis of unsaturated fatty acids 
birA	bifunctional protein BirA	+AC0-0.58148614	+AC0-1.9026573192	0.030152897	+AC0-1.2693034547	+AC0-1.3003083603	+AC0-0.5999613598	+AC0-4.5	+AC0-0.4694456381	+AC0-0.2047996813	0.3575543551	+AC0-0.257901607	+AC0-0.7050038845	+AC0-4.5	BN373+AF8-49711	ERS227112+AF8-01821	ROD+AF8-37761	SL1344+AF8-4082	SL3261+AF8-4082	STMMW+AF8-40971	STM+AF8-MW40971	SEN3927	t3488	EC958+AF8-5089	NCTC13441+AF8-04522	BW25113+AF8-3973	b3973	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
fabB	3+AC0-oxoacyl+AC0AWw-acyl+AC0-carrier+AC0-protein+AF0- synthase 1	+AC0-4.5	+AC0-4.5	+AC0-1.9637433377	+AC0-1.7330882303	+AC0-1.3856405014	+AC0-1.3034211333	+AC0-4.5	+AC0-1.4844598565	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5738499117	+AC0-4.5	BN373+AF8-33231	ERS227112+AF8-03866	ROD+AF8-27351	SL1344+AF8-2347	SL3261+AF8-2347	STMMW+AF8-24001	STM+AF8-MW24001	SEN2360	t0486	EC958+AF8-2658	NCTC13441+AF8-01388	BW25113+AF8-2323	b2323	3	3	5	2	2	2	2	2	2	2	2	2	2	eco00780	Biotin metabolism 
fabG	3+AC0-oxoacyl+AC0AWw-acyl+AC0-carrier+AC0-protein+AF0- reductase	+AC0-0.502209631	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.5287455691	+AC0-4.5	+AC0-2.0592301275	+AC0-4.5	+AC0-0.9501952372	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-17051	ERS227112+AF8-03569	ROD+AF8-11551	SL1344+AF8-1132	SL3261+AF8-1132	STMMW+AF8-12041	STM+AF8-MW12041	SEN1854	t1725	EC958+AF8-1289	NCTC13441+AF8-02819	BW25113+AF8-1093	b1093	35	32	18	11	11	11	11	12	10	17	17	14	14	eco00780	Biotin metabolism 
fabI	enoyl+AC0-(acyl+AC0-carrier+AC0-protein) reductase (NADH)	+AC0-0.5847567964	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.001055435	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-19101	ERS227112+AF8-05444	ROD+AF8-17111	SL1344+AF8-1631	SL3261+AF8-1631	STMMW+AF8-16961	STM+AF8-MW16961	SEN1332	t1613	EC958+AF8-1622	NCTC13441+AF8-02474	BW25113+AF8-1288	b1288	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
fabZ	beta+AC0-hydroxyacyl+AC0-(acyl+AC0-carrier+AC0-protein) dehydratase FabZ	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.5862022603	+AC0-1.2418083234	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06851	ERS227112+AF8-02535	ROD+AF8-01831	SL1344+AF8-0228	SL3261+AF8-0228	STMMW+AF8-02331	STM+AF8-MW02331	SEN0234	t0228	EC958+AF8-0326	NCTC13441+AF8-03796	BW25113+AF8-0180	b0180	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00780	Biotin metabolism 
accA	acetyl+AC0-CoA carboxylase, carboxyl transferase, alpha subunit	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.0611159024	+AC0-4.5	+AC0-1.2947620187	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06901	ERS227112+AF8-02540	ROD+AF8-01881	SL1344+AF8-0233	SL3261+AF8-0233	STMMW+AF8-02381	STM+AF8-MW02381	SEN0239	t0233	EC958+AF8-0331	NCTC13441+AF8-03791	BW25113+AF8-0185	b0185	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
accB	acetyl+AC0-CoA carboxylase, biotin carboxyl carrier protein	+AC0-0.8371673697	+AC0-4.5	+AC0-4.5	+AC0-1.7106580789	+AC0-4.5	+AC0-4.5	X	+AC0-1.3214113017	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.8840421093	+AC0-4.5	BN373+AF8-43051	ERS227112+AF8-00942	ROD+AF8-45591	SL1344+AF8-3352	SL3261+AF8-3352	STMMW+AF8-33771	X	SEN3213	t3294	EC958+AF8-3647	NCTC13441+AF8-00446	BW25113+AF8-3255	b3255	2	1	1	1	1	1	0	1	1	1	1	1	1	eco01200	Carbon metabolism 
accC	acetyl+AC0-CoA carboxylase, biotin carboxylase subunit	+AC0-4.5	+AC0-4.5	+AC0-1.5313932766	+AC0-2.6929607146	+AC0-2.7560792555	+AC0-1.2522391353	+AC0-4.5	+AC0-3.0661120384	+AC0-4.5	+AC0-2.1037791903	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-43061	ERS227112+AF8-00941	ROD+AF8-45581	SL1344+AF8-3353	SL3261+AF8-3353	STMMW+AF8-33781	STM+AF8-MW33781	SEN3214	t3295	EC958+AF8-3648	NCTC13441+AF8-00445	BW25113+AF8-3256	b3256	2	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
accD	acetyl+AC0-CoA carboxylase, carboxyl transferase, beta subunit	+AC0-4.5	+AC0-4.5	+AC0-1.6843217266	+AC0-4.5	+AC0-4.5	+AC0-1.710090881	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.0109132603	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-33161	ERS227112+AF8-03873	ROD+AF8-27281	SL1344+AF8-2335	SL3261+AF8-2335	STMMW+AF8-23881	STM+AF8-MW23881	SEN2348	t0498	EC958+AF8-2651	NCTC13441+AF8-01395	BW25113+AF8-2316	b2316	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
aceE	pyruvate dehydrogenase (acetyl+AC0-transferring), homodimeric type	2.0437983264	0.2521806314	1.5864429927	0.110527517	0.9327913785	0.9535114205	+AC0-0.313692292	0.7746859797	+AC0-1.6050684544	0.8767102889	+AC0-0.3220568791	1.6059941799	4.5	BN373+AF8-06081	ERS227112+AF8-02456	ROD+AF8-01201	SL1344+AF8-0152	SL3261+AF8-0152	STMMW+AF8-01581	STM+AF8-MW01581	SEN0156	t0158	EC958+AF8-0256	NCTC13441+AF8-03867	BW25113+AF8-0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
aceF	dihydrolipoyllysine+AC0-residue acetyltransferase	1.9203138271	+AC0-0.2331814339	1.2239036763	0	+AC0-0.0910065042	0.399763648	+AC0-0.30496167	0.3627593102	+AC0-2.6393038246	0.7595260314	+AC0-0.671923976	0.2989506555	4.5	BN373+AF8-06091	ERS227112+AF8-02457	ROD+AF8-01211	SL1344+AF8-0153	SL3261+AF8-0153	STMMW+AF8-01591	STM+AF8-MW01591	SEN0157	t0159	EC958+AF8-0257	NCTC13441+AF8-03866	BW25113+AF8-0115	b0115	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
acnB	aconitate hydratase 2	1.9876938234	+AC0-0.176944007	1.9375338145	2.2372075442	2.041201891	1.9328987963	0.9487358422	1.5308715912	0.3601897732	1.091651065	1.3066494234	1.9978960016	4.5	BN373+AF8-06141	ERS227112+AF8-02462	ROD+AF8-01251	SL1344+AF8-0159	SL3261+AF8-0159	STMMW+AF8-01641	STM+AF8-MW01641	SEN0162	t0164	EC958+AF8-0260	NCTC13441+AF8-03863	BW25113+AF8-0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
cysE	serine O+AC0-acetyltransferase	0.6573880502	+AC0-4.5	1.314346542	+AC0-0.0609862357	1.208573829	0.6949488336	+AC0-4.5	0.0564886806	1.3664611489	+AC0-0.259906167	+AC0-0.09312706	0.1859459267	4.5	BN373+AF8-45931	ERS227112+AF8-00627	ROD+AF8-42091	SL1344+AF8-3665	SL3261+AF8-3665	STMMW+AF8-36871	STM+AF8-MW36871	SEN3521	t3820	EC958+AF8-4015	NCTC13441+AF8-00076	BW25113+AF8-3607	b3607	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
eno	phosphopyruvate hydratase	+AC0-0.4138866294	+AC0-4.5	+AC0-1.4691359872	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.5505985829	+AC0-1.492243699	+AC0-4.5	0.3965460498	+AC0-2.1593127492	+AC0-4.5	+AC0-4.5	BN373+AF8-37671	ERS227112+AF8-01537	ROD+AF8-30351	SL1344+AF8-2931	SL3261+AF8-2931	STMMW+AF8-29151	STM+AF8-MW29151	SEN2791	t2853	EC958+AF8-3048	NCTC13441+AF8-00995	BW25113+AF8-2779	b2779	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
fbaA	fructose+AC0-bisphosphate aldolase	+AC0-0.8946265231	+AC0-4.5	+AC0-4.5	+AC0-1.7958522457	+AC0-1.3666825203	+AC0-1.2360038199	+AC0-4.5	+AC0-0.9087222659	+AC0-2.3141521704	0.3985301564	+AC0-2.0147456354	+AC0-4.5	+AC0-4.5	BN373+AF8-40181	ERS227112+AF8-01311	ROD+AF8-50681	SL1344+AF8-3044	SL3261+AF8-3044	STMMW+AF8-30291	STM+AF8-MW30291	SEN2911	t2987	EC958+AF8-3204	NCTC13441+AF8-00831	BW25113+AF8-2925	b2925	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
folD	methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	0.3760107936	+AC0-4.5	+AC0-0.3401239331	+AC0-2.0851081909	+AC0-1.8464942813	+AC0-0.5471772927	+AC0-4.5	+AC0-1.59235964	+AC0-1.627633436	+AC0-1.9200796599	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-09731	ERS227112+AF8-02835	ROD+AF8-05611	SL1344+AF8-0535	SL3261+AF8-0535	STMMW+AF8-06101	STM+AF8-MW06101	SEN0523	t2321	EC958+AF8-0668	NCTC13441+AF8-03446	BW25113+AF8-0529	b0529	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
gapA	gIyceraldehyde+AC0-3+AC0-phosphate dehydrogenase (phosphorylating)	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-1.9918123502	+AC0-4.5	+AC0-1.3420305258	+AC0-4.5	+AC0-0.9231260509	+AC0-4.5	0.1040114018	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-18191	ERS227112+AF8-03665	ROD+AF8-12731	SL1344+AF8-1225	SL3261+AF8-1225	STMMW+AF8-12971	STM+AF8-MW12971	SEN1762	t1169	EC958+AF8-2001	NCTC13441+AF8-02101	BW25113+AF8-1779	b1779	3	4	3	2	2	2	2	2	2	3	3	3	3	eco01200	Carbon metabolism 
glyA	serine hydroxymethyltransferase	+AC0-1.3466417536	+AC0-4.5	1.6585957606	0.5563811839	1.5967618923	+AC0-4.5	0.4159777824	+AC0-1.2462443696	+AC0-0.154086078	+AC0-1.6046028481	+AC0-4.5	+AC0-4.5	4.5	BN373+AF8-35341	ERS227112+AF8-00039	ROD+AF8-24931	SL1344+AF8-2517	SL3261+AF8-2517	STMMW+AF8-25721	STM+AF8-MW25721	SEN2535	t0301	EC958+AF8-2857	NCTC13441+AF8-01190	BW25113+AF8-2551	b2551	1	1	1	1	1	1	1	2	2	1	1	1	1	eco01200	Carbon metabolism 
icd	isocitrate dehydrogenase, NADP+AC0-dependent	0.3598895999	+AC0-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	+AC0-0.3658515076	+AC0-1.4498838492	+AC0-0.7604474198	1.2507240753	4.5	BN373+AF8-17611	ERS227112+AF8-03614	ROD+AF8-12261	SL1344+AF8-1176	SL3261+AF8-1176	STMMW+AF8-12481	STM+AF8-MW12481	SEN1811	t1682	EC958+AF8-1333	NCTC13441+AF8-02776	BW25113+AF8-1136	b1136	3	4	5	2	2	2	2	2	2	2	2	3	3	eco01200	Carbon metabolism 
lpdA	dihydrolipoamide dehydrogenase	0.8016237362	+AC0-4.5	+AC0-0.6975769459	+AC0-0.7138162473	+AC0-2.5784884794	+AC0-0.2967405039	+AC0-1.6306134324	0.1672680032	+AC0-2.3528419954	+AC0-2.086324611	+AC0-4.5	0.6791219417	4.5	BN373+AF8-06101	ERS227112+AF8-02458	ROD+AF8-01221	SL1344+AF8-0154	SL3261+AF8-0154	STMMW+AF8-01601	STM+AF8-MW01601	SEN0158	t0160	EC958+AF8-0258	NCTC13441+AF8-03865	BW25113+AF8-0116	b0116	4	5	3	4	4	4	4	4	4	5	5	4	4	eco01200	Carbon metabolism 
pgk	phosphoglycerate kinase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-2.5420557197	+AC0-1.7182595208	+AC0-1.6369693047	+AC0-0.8531566855	+AC0-2.3941554669	+AC0-0.2984816609	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-40191	ERS227112+AF8-01310	ROD+AF8-50671	SL1344+AF8-3045	SL3261+AF8-3045	STMMW+AF8-30301	STM+AF8-MW30301	SEN2912	t2988	EC958+AF8-3205	NCTC13441+AF8-00830	BW25113+AF8-2926	b2926	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
prs	ribose+AC0-phosphate pyrophosphokinase	+AC0-0.7890031956	+AC0-4.5	+AC0-1.6230858323	+AC0-1.9107734895	+AC0-1.2895045012	+AC0-1.2711571467	+AC0-4.5	+AC0-1.5737769852	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-28321	ERS227112+AF8-04430	ROD+AF8-18061	SL1344+AF8-1708	SL3261+AF8-1708	STMMW+AF8-17721	STM+AF8-MW17721	SEN1259	t1096	EC958+AF8-1475	NCTC13441+AF8-02635	BW25113+AF8-1207	b1207	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
rpiA	ribose 5+AC0-phosphate isomerase A	1.6165362	+AC0-1.5057629549	1.4229880801	+AC0-0.8963198796	+AC0-1.2767550432	0.8688065354	+AC0-0.3677491859	0.1302107411	+AC0-1.8022173381	0.4974311091	1.9714897883	1.3255999939	4.5	BN373+AF8-40131	ERS227112+AF8-01316	ROD+AF8-49161	SL1344+AF8-3039	SL3261+AF8-3039	STMMW+AF8-30231	STM+AF8-MW30231	SEN2906	t2981	EC958+AF8-3194	NCTC13441+AF8-00841	BW25113+AF8-2914	b2914	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01200	Carbon metabolism 
sucA	oxoglutarate dehydrogenase (succinyl+AC0-transferring), E1 component	1.3347492219	0.8800014659	1.3339850689	1.9094557589	1.3778558487	1.0270709132	0.6538368577	1.347248963	+AC0-1.3619047841	0.9881780534	0.8212862788	0.7278105644	4.5	BN373+AF8-13051	ERS227112+AF8-03175	ROD+AF8-07231	SL1344+AF8-0718	SL3261+AF8-0718	STMMW+AF8-07931	STM+AF8-MW07931	SEN0686	t2140	EC958+AF8-0840	NCTC13441+AF8-03270	BW25113+AF8-0726	b0726	1	1	1	1	1	1	1	1	1	2	2	1	1	eco01200	Carbon metabolism 
sucB	dihydrolipoyllysine+AC0-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase (succinyl+AC0-transferring) complex	0.5829721443	0.9100561076	0.8034404187	1.466121871	1.2590553488	0.4583945079	+AC0-0.3014833051	1.039070445	+AC0-4.5	0.905361541	1.1770911777	0.5683076613	4.5	BN373+AF8-13061	ERS227112+AF8-03176	ROD+AF8-07241	SL1344+AF8-0719	SL3261+AF8-0719	STMMW+AF8-07941	STM+AF8-MW07941	SEN0687	t2139	EC958+AF8-0841	NCTC13441+AF8-03269	BW25113+AF8-0727	b0727	3	1	1	1	1	1	1	1	1	2	2	1	1	eco01200	Carbon metabolism 
tktA	transketolase 1, thiamine triphosphate+AC0-binding	1.9858802308	1.64530687	2.0041488423	2.0606476469	1.6503095755	1.8017013499	1.1872829884	1.4627508166	+AC0-1.8516259556	1.5751694551	0.9303221118	1.9140807742	4.5	BN373+AF8-40211	ERS227112+AF8-01308	ROD+AF8-50511	SL1344+AF8-3052	SL3261+AF8-3052	STMMW+AF8-30371	STM+AF8-MW30371	SEN2919	t2996	EC958+AF8-3220	NCTC13441+AF8-00816	BW25113+AF8-2935	b2935	3	2	3	2	2	2	2	2	2	3	3	2	2	eco01200	Carbon metabolism 
acrA	acriflavine resistance protein A	2.4547459247	+AC0-4.5	2.4841393351	1.3940436639	2.7025071793	2.4471681459	1.8167132263	1.9980365437	2.1686121094	1.4359518273	2.1765952402	2.2126261364	4.5	BN373+AF8-09321	ERS227112+AF8-02797	ROD+AF8-05181	SL1344+AF8-0469	SL3261+AF8-0469	STMMW+AF8-05461	STM+AF8-MW05461	SEN0457	t2384	EC958+AF8-0602	NCTC13441+AF8-03515	BW25113+AF8-0463	b0463	6	6	3	4	4	4	4	4	2	5	5	4	4	eco01503	Cationic antimicrobial peptide (CAMP) resistance 
acrB	acriflavine resistance protein B	2.5720722282	+AC0-4.5	2.2491501829	1.6149189161	2.5160652036	2.0631361827	1.5403672966	2.0007982741	2.1639071306	1.3722519411	2.0700217649	2.6042114086	4.5	BN373+AF8-09311	ERS227112+AF8-02796	ROD+AF8-05171	SL1344+AF8-0468	SL3261+AF8-0468	STMMW+AF8-05451	STM+AF8-MW05451	SEN0456	t2385	EC958+AF8-0601	NCTC13441+AF8-03516	BW25113+AF8-0462	b0462	12	12	5	6	6	6	6	6	4	8	8	7	7	eco01503	Cationic antimicrobial peptide (CAMP) resistance 
arnF	putative membrane protein	2.2215089428	+AC0-0.7587428892	X	2.5908173755	2.6426516746	2.5803007118	1.9736541639	1.970567859	1.4893173096	2.1531348041	2.0729709278	1.1453200005	4.5	BN373+AF8-44761	ERS227112+AF8-00744	X	SL1344+AF8-2272	SL3261+AF8-2272	STMMW+AF8-23271	STM+AF8-MW23271	SEN2285	t0560	EC958+AF8-2597	NCTC13441+AF8-01449	BW25113+AF8-2258	b2258	1	1	0	1	1	1	1	1	1	1	1	1	1	eco01503	Cationic antimicrobial peptide (CAMP) resistance 
lpxA	acyl+AC0AWw-acyl+AC0-carrier+AC0-protein+AF0ALQ-UDP+AC0-N+AC0-acetylglucosa mine O+AC0-acyltransferase	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-0.7697660145	+AC0-4.5	+AC0-1.096570311	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	+AC0-4.5	BN373+AF8-06861	ERS227112+AF8-02536	ROD+AF8-01841	SL1344+AF8-0229	SL3261+AF8-0229	STMMW+AF8-02341	STM+AF8-MW02341	SEN0235	t0229	EC958+AF8-0327	NCTC13441+AF8-03795	BW25113+AF8-0181	b0181	1	1	1	1	1	1	1	1	1	1	1	1	1	eco01503	Cationic antimicrobial peptide (CAMP) resistance 
tolC	outer membrane protein TolC	2.6182513639	+AC0-2.4728287684	2.2600198166	1.7161808379	2.6878047071	2.3161031907	1.5698703908	2.1027623971	2.1650216852	2.0224312653	2.1898770442	2.2987666698	4.5	BN373+AF8-41011	ERS227112+AF8-01159	ROD+AF8-35821	SL1344+AF8-3160	SL3261+AF8-3160	STMMW+AF8-31461	STM+AF8-MW31461	SEN3029	t3107	EC958+AF8-3438	NCTC13441+AF8-00660	BW25113+AF8-3035	b3035	1	1	2	1	1	1	1	1	1	1	1	1	1	eco01503	Cationic antimicrobial peptide (CAMP) resistance 
aceE	pyruvate dehydrogenase (acetyl+AC0-transferring), homodimeric type	2.0437983264	0.2521806314	1.5864429927	0.110527517	0.9327913785	0.9535114205	+AC0-0.313692292	0.7746859797	+AC0-1.6050684544	0.8767102889	+AC0-0.3220568791	1.6059941799	4.5	BN373+AF8-06081	ERS227112+AF8-02456	ROD+AF8-01201	SL1344+AF8-0152	SL3261+AF8-0152	STMMW+AF8-01581	STM+AF8-MW01581	SEN0156	t0158	EC958+AF8-0256	NCTC13441+AF8-03867	BW25113+AF8-0114	b0114	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00020	Citrate cycle (TCA cycle) 
aceF	dihydrolipoyllysine+AC0-residue acetyltransferase	1.9203138271	+AC0-0.2331814339	1.2239036763	0	+AC0-0.0910065042	0.399763648	+AC0-0.30496167	0.3627593102	+AC0-2.6393038246	0.7595260314	+AC0-0.671923976	0.2989506555	4.5	BN373+AF8-06091	ERS227112+AF8-02457	ROD+AF8-01211	SL1344+AF8-0153	SL3261+AF8-0153	STMMW+AF8-01591	STM+AF8-MW01591	SEN0157	t0159	EC958+AF8-0257	NCTC13441+AF8-03866	BW25113+AF8-0115	b0115	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00020	Citrate cycle (TCA cycle) 
acnB	aconitate hydratase 2	1.9876938234	+AC0-0.176944007	1.9375338145	2.2372075442	2.041201891	1.9328987963	0.9487358422	1.5308715912	0.3601897732	1.091651065	1.3066494234	1.9978960016	4.5	BN373+AF8-06141	ERS227112+AF8-02462	ROD+AF8-01251	SL1344+AF8-0159	SL3261+AF8-0159	STMMW+AF8-01641	STM+AF8-MW01641	SEN0162	t0164	EC958+AF8-0260	NCTC13441+AF8-03863	BW25113+AF8-0118	b0118	1	1	1	1	1	1	1	1	1	1	1	1	1	eco00020	Citrate cycle (TCA cycle) 
icd	isocitrate dehydrogenase, NADP+AC0-dependent	0.3598895999	+AC0-4.5	0.1892814784	1.5591340033	1.4511651275	1.5375133499	0.2458733579	1.0905579873	+AC0-0.3658515076	+AC0-1.4498838492	+AC0-0.7604474198	1.2507240753	4.5	BN373+AF8-17611	ERS227112+AF8-03614	ROD+AF8-12261	SL1344+AF8-1176	SL3261+AF8-1176	STMMW+AF8-12481	STM+AF8-MW12481	SEN1811	t1682	EC958+AF8-1333	NCTC13441+AF8-02776	BW25113+AF8-1136	b1136	3	4	5	2	2	2	2	2	2	2	2	3	3	eco00020	Citrate cycle (TCA cycle) 
lpdA	dihydrolipoamide dehydrogenase	0.8016237362	+AC0-4.5	+AC0-0.6975769459	+AC0-0.7138162473	+AC0-2.5784884794	+AC0-0.2967405039	+AC0-1.6306134324	0.1672680032	+AC0-2.3528419954	+AC0-2.086324611	+AC0-4.5	0.6791219417	4.5	BN373+AF8-06101	ERS227112+AF8-02458	ROD+AF8-01221	SL1344+AF8-0154	SL3261+AF8-0154	STMMW+AF8-01601	STM+AF8-MW01601	SEN0158	t0160	EC958+AF8-0258	NCTC13441+AF8-03865	BW25113+AF8-0116	b0116	4	5	3	4	4	4	4	4	4	5	5	4	4	eco00020	Citrate cycle (TCA cycle) 
